TLD	Lang (muss have title for parsing!)
ad	cat
ad	spa
ae	afb
ae	bcc
ae	pbu
ae	ara
af	prs
af	haz
ag	aig
ag	eng
ai	aig
ai	eng
al	als
al	aln
am	hye
am	azj
ao	umb
ao	kmb
ar	spa
ar	quh
as	smo
as	eng
at	deu
at	bar
au	eng
au	tcs
aw	pap
aw	nld
az	azj
az	tly
az	rus
ba	bos
ba	srp
bb	bjs
bb	eng
bd	ben
bd	ctg
be	vls
be	nld
bf	mos
bf	dyu
bf	por
bg	bul
bg	tur
bh	abv
bh	afb
bh	ara
bi	run
bi	swh
bj	fon
bj	hau
bj	fra
bm	eng
br	por
br	vec
bs	bah
bs	eng
bt	nep
bt	dzo
bw	tsn
bw	kck
by	bel
by	rus
bz	spa
bz	bzj
ca	eng
ca	fra
cd	fra
cf	sag
cf	gso
cf	mzv
cf	fra
cf	sag
cg	mkw
cg	kng
cg	fra
cg	lin
cg	kon
ch	gsw
ch	fra
ch	deu
ch	ita
ch	roh
ci	fra
ck	rar
ck	rkh
cl	spa
cl	arn
cm	btb
cm	bum
cm	fra
cn	cmn
cn	wuu
co	spa
co	guc
cr	spa
cr	jam
cu	spa
cy	ell
cy	tur
cz	ces
cz	rmc
de	deu
dj	som
dj	aar
dk	dan
dk	fao
dm	acf
dm	eng
do	spa
do	hat
dz	arq
dz	kab
ec	spa
ec	qug
ee	est
ee	eso
ee	rus
eg	arz
eg	aec
eg	ara
er	tir
er	tig
es	spa
es	cat
et	amh
et	gaz
fi	fin
fi	swe
fj	hif
fj	fij
fo	fao
fo	dan
fr	fra
fr	oci
ga	fan
ga	puu
ga	fra
gb	eng
gb	cym
gd	gcl
gd	acf
ge	kat
ge	xmf
ge	rus
gf	gcr
gf	djk
gh	aka
gh	ewe
gi	eng
gl	kal
gl	dan
gm	mnk
gm	fuc
gn	fuf
gn	emk
gn	fra
gp	gcf
gp	hat
gq	fan
gq	bvb
gr	ell
gr	mkd
gt	spa
gt	quc
gu	cha
gu	eng
gw	ble
gw	fuc
gy	gyn
gy	mbc
hn	spa
hn	cab
hr	hrv
hr	vec
ht	hat
ht	fra
hu	hun
hu	deu
ie	eng
ie	gle
il	heb
il	ajp
il	rus
in	hin
in	ben
io	eng
iq	acm
iq	ayp
iq	ara
is	isl
it	ita
it	lmo
je	eng
je	fra
jm	jam
jo	ajp
jo	avl
jo	ara
jp	jpn
jp	ryu
ke	kik
ke	luo
ke	swh
kg	kir
kg	rus
kh	khm
kh	vie
ki	gil
ki	eng
km	zdj
km	wni
kn	aig
kn	eng
kw	afb
kw	gdq
kw	ara
ky	eng
kz	rus
kz	kaz
lb	apc
lb	hye
lb	ara
lc	acf
lc	eng
li	gsw
li	wae
lk	sin
lk	tam
lr	xpe
lr	bsq
ls	sot
ls	zul
lt	lit
lt	kdr
lt	rus
lu	ltz
lu	fra
lv	lav
lv	rml
lv	rus
ly	ara
ma	ary
ma	tzm
ma	shi
ma	ara
mc	fra
mc	lij
md	rus
me	srp
me	aln
mg	plt
mg	bjq
mg	fra
mg	mlg
mh	mah
ml	bam
ml	ffm
ml	fra
mm	mya
mm	shn
mn	khk
mn	xal
mp	cha
mp	tpv
mq	gcf
mq	fra
mr	mey
mr	fuc
mr	ara
ms	aig
ms	eng
mt	mlt
mt	ita
mu	mfe
mu	bho
mv	div
mw	nya
mw	tum
mw	yao
mx	spa
mx	yua
mz	vmw
mz	tso
mz	por
na	ndo
na	kua
na	afr
nc	fra
nc	wls
ne	hau
ne	dje
ne	fra
nf	eng
nf	pih
ng	pcm
ng	yor
ni	spa
ni	miq
nl	nld
no	nno
no	nob
no	sme
np	nep
np	mai
nr	nau
nr	eng
nu	niu
nu	eng
nz	eng
nz	mri
om	acx
om	afb
om	ara
pa	spa
pa	jam
pe	spa
pe	quz
pf	tah
pf	fra
pg	enq
pg	med
ph	fil
ph	tgl
pk	pnb
pk	snd
pl	pol
pl	deu
pm	fra
pm	eng
pn	pih
pr	spa
pr	eng
ps	ara
pt	por
pt	ast
pw	pau
pw	sov
py	gug
py	spa
qa	afb
qa	pes
qa	ara
re	rcf
re	fra
ro	ron
ro	hun
rs	srp
rs	aln
ru	rus
rw	kin
rw	fra
sa	arb
sa	ars
sa	ara
sb	kwf
sb	pis
sc	crs
sc	eng
sd	apd
sd	bej
sd	ara
se	swe
se	fin
sg	nan
sg	eng
si	slv
si	hun
sk	slk
sk	hun
sl	men
sl	tem
sm	ita
sm	eml
sn	wol
sn	fuc
sn	fra
so	som
so	ymm
so	ara
sr	nld
sr	hns
sv	spa
sv	kek
sy	ara
sz	ssw
sz	zul
tc	tch
tc	eng
td	shu
td	sba
tg	ewe
tg	kbp
tg	fra
th	tha
th	tts
tj	tgk
tj	uzn
tj	rus
tk	tkl
tk	eng
tm	tuk
tm	uzn
tn	aeb
tn	jbn
to	ton
to	num
tt	tgh
tt	hns
tv	tvl
tv	gil
tz	swh
ua	ukr
ua	rue
ua	rus
ug	lug
ug	nyn
ug	swh
uk	eng
uk	gle
us	eng
us	spa
uy	spa
uz	uzn
uz	tgk
uz	rus
vc	svc
vc	eng
vn	vie
vn	tyz
vu	tnl
vu	llp
wf	wls
wf	fud
ws	smo
ws	eng
ye	ayn
ye	acq
yt	swb
yt	buc
za	zul
za	xho
za	afr
za	nde
za	nso
za	sot
za	ssw
za	tsn
za	tso
za	ven
zm	bem
zm	toi
zw	sna
zw	nde
